127.0.0.1, 2015-03-22 02:41:34, GET, /, HTTP/1.1, 303, 0.001058
127.0.0.1, 2015-03-22 02:41:34, GET, /, HTTP/1.1, 303, 0.000503
127.0.0.1, 2015-03-22 02:41:35, GET, /welcome/default/index, HTTP/1.1, 500, 1.201527
127.0.0.1, 2015-03-22 02:41:37, GET, /welcome/default/index, HTTP/1.1, 200, 3.590496
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/default/ticket/welcome/127.0.0.1.2015-03-22.02-41-34.5f786ee2-a4c4-455c-b694-b1ae2d186527, HTTP/1.1, 303, 0.571017
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/default/index, HTTP/1.1, 200, 0.040788
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.001489
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.002964
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000903
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002063
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001234
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000578
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-03-22 02:41:42, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000454
